,Patient,Concentration,Culture,Replicate,Treatment,Plate,S_phase
0,23,0,PDOF,AA,DMSO,SLV,0.9917968052575771
1,23,0,PDOF,A,DMSO,SLV,0.888959927959539
2,23,0,PDOF,BB,DMSO,SLV,1.2155585834002234
3,23,0,PDOF,B,DMSO,SLV,0.9031236045949458
4,23,0,PDOF,CC,DMSO,SLV,1.075552274430911
5,23,0,PDOF,C,DMSO,SLV,0.9250088043568041
6,23,4,PDOF,A,S,SLV,0.0629938701575389
7,23,4,PDOF,B,S,SLV,0.1140433991803408
8,23,4,PDOF,C,S,SLV,0.13992975768362353
9,23,0,PDO,AA,DMSO,SLV,0.9793159904146272
10,23,0,PDO,A,DMSO,SLV,1.0248759015423987
11,23,0,PDO,BB,DMSO,SLV,0.9828043029479897
12,23,0,PDO,B,DMSO,SLV,0.9903195644768327
13,23,0,PDO,CC,DMSO,SLV,1.043669509642628
14,23,0,PDO,C,DMSO,SLV,0.9790147309755234
15,23,4,PDO,A,S,SLV,0.4048063181454647
16,23,4,PDO,B,S,SLV,0.28558967380742023
17,23,4,PDO,C,S,SLV,0.31138395073314035
18,27,0,PDOF,AA,DMSO,SLV,1.132422632203824
19,27,0,PDOF,A,DMSO,SLV,0.1432366088069445
20,27,0,PDOF,BB,DMSO,SLV,1.4789718548756057
21,27,0,PDOF,B,DMSO,SLV,0.9904832959411294
22,27,0,PDOF,CC,DMSO,SLV,1.0856130743787955
23,27,0,PDOF,C,DMSO,SLV,1.1692725337937004
24,27,4,PDOF,A,S,SLV,0.14391667784024534
25,27,4,PDOF,B,S,SLV,0.14737158175859055
26,27,4,PDOF,C,S,SLV,0.17749757130894497
27,27,0,PDO,AA,DMSO,SLV,0.969331825457246
28,27,0,PDO,A,DMSO,SLV,1.0117175932804816
29,27,0,PDO,BB,DMSO,SLV,1.0198374647540513
30,27,0,PDO,B,DMSO,SLV,0.9994593263652383
31,27,0,PDO,CC,DMSO,SLV,0.9522765084883441
32,27,0,PDO,C,DMSO,SLV,1.0473772816546383
33,27,4,PDO,A,S,SLV,0.16565750556197875
34,27,4,PDO,B,S,SLV,0.10308259013545706
35,27,4,PDO,C,S,SLV,0.08807568401554373
36,21,0,PDOF,AA,DMSO,SLV,1.02099781851671
37,21,0,PDOF,A,DMSO,SLV,0.5199841491525705
38,21,0,PDOF,BB,DMSO,SLV,0.8433285260151655
39,21,0,PDOF,B,DMSO,SLV,1.4977348170721008
40,21,0,PDOF,CC,DMSO,SLV,1.1520516682356763
41,21,0,PDOF,C,DMSO,SLV,0.9659030210077768
42,21,4,PDOF,A,S,SLV,0.0742701647043432
43,21,4,PDOF,B,S,SLV,0.08989944994992094
44,21,4,PDOF,C,S,SLV,0.05773847633916426
45,21,0,PDO,AA,DMSO,SLV,1.0441004928921678
46,21,0,PDO,A,DMSO,SLV,1.0853872922173078
47,21,0,PDO,BB,DMSO,SLV,0.9446659603824671
48,21,0,PDO,B,DMSO,SLV,1.0705490864765719
49,21,0,PDO,CC,DMSO,SLV,0.8749551807663882
50,21,0,PDO,C,DMSO,SLV,0.9803419872650969
51,21,4,PDO,A,S,SLV,0.03533447289272981
52,21,4,PDO,B,S,SLV,0.03740737223034581
53,21,4,PDO,C,S,SLV,0.038084190186747524
54,75,0,PDOF,AA,DMSO,SLV,0.6389585420361226
55,75,0,PDOF,A,DMSO,SLV,1.3830917320999356
56,75,0,PDOF,BB,DMSO,SLV,0.7966606821942728
57,75,0,PDOF,B,DMSO,SLV,1.3006167159321778
58,75,0,PDOF,CC,DMSO,SLV,0.6170925966781494
59,75,0,PDOF,C,DMSO,SLV,1.2635797310593422
60,75,4,PDOF,A,S,SLV,0.13460569816422752
61,75,4,PDOF,B,S,SLV,0.147044708237532
62,75,4,PDOF,C,S,SLV,0.09514990367880505
63,75,0,PDO,AA,DMSO,SLV,0.9239532590043534
64,75,0,PDO,A,DMSO,SLV,1.152254319992848
65,75,0,PDO,BB,DMSO,SLV,0.8212926491269847
66,75,0,PDO,B,DMSO,SLV,1.1633021796054166
67,75,0,PDO,CC,DMSO,SLV,0.8595277480068453
68,75,0,PDO,C,DMSO,SLV,1.0796698442635508
69,75,4,PDO,A,S,SLV,0.06952274579830504
70,75,4,PDO,B,S,SLV,0.08724136191040623
71,75,4,PDO,C,S,SLV,0.07386762155915608
72,141,0,PDOF,AA,DMSO,SLV,1.3140363525963739
73,141,0,PDOF,A,DMSO,SLV,0.4557258409989943
74,141,0,PDOF,BB,DMSO,SLV,1.4956965913894866
75,141,0,PDOF,CC,DMSO,SLV,1.1298497914549883
76,141,0,PDOF,C,DMSO,SLV,0.6046914235601566
77,141,4,PDOF,A,S,SLV,0.15975002566005408
78,141,4,PDOF,B,S,SLV,0.1375795512815495
79,141,4,PDOF,C,S,SLV,0.1759266087091888
80,141,0,PDO,AA,DMSO,SLV,1.0637726562897392
81,141,0,PDO,A,DMSO,SLV,0.8408635592596645
82,141,0,PDO,BB,DMSO,SLV,1.249250226512653
83,141,0,PDO,CC,DMSO,SLV,0.7151401543472576
84,141,0,PDO,C,DMSO,SLV,1.130973403590685
85,141,4,PDO,A,S,SLV,0.0
86,141,4,PDO,B,S,SLV,0.19631998933522143
87,141,4,PDO,C,S,SLV,0.15074207635604947
88,5,0,PDOF,AA,DMSO,SLV,0.7682699117166653
89,5,0,PDOF,A,DMSO,SLV,0.8803057852580626
90,5,0,PDOF,BB,DMSO,SLV,1.1822599077701168
91,5,0,PDOF,B,DMSO,SLV,1.2309119411504403
92,5,0,PDOF,CC,DMSO,SLV,0.9091113757080603
93,5,0,PDOF,C,DMSO,SLV,1.0291410783966544
94,5,4,PDOF,A,S,SLV,0.08025825675289487
