,Patient,Concentration,Culture,Replicate,Treatment,Plate,Apoptosis
0,11,0,PDOF,A,H2O,O,1.0001097484787023
1,11,0,PDOF,B,H2O,O,0.9996306073947198
2,11,0,PDOF,C,H2O,O,1.0002596441265783
3,11,3,PDOF,A,O,O,1.0967543121931151
4,11,3,PDOF,B,O,O,1.0710690635023947
5,11,3,PDOF,C,O,O,1.0923757591378007
6,11,0,PDO,A,H2O,O,1.001018247581136
7,11,0,PDO,B,H2O,O,1.0177681928613758
8,11,0,PDO,C,H2O,O,0.9812135595574883
9,11,3,PDO,A,O,O,1.2544452914766453
10,11,3,PDO,B,O,O,1.3260071409591807
11,11,3,PDO,C,O,O,1.2152426447759686
12,141,0,PDOF,A,H2O,O,1.0563591567199748
13,141,0,PDOF,B,H2O,O,0.9716106527428243
14,141,0,PDOF,C,H2O,O,0.9720301905372006
15,141,3,PDOF,A,O,O,0.7750026068331086
16,141,3,PDOF,B,O,O,0.7706982652475741
17,141,3,PDOF,C,O,O,0.8347600240604865
18,141,0,PDO,A,H2O,O,0.9235075751550829
19,141,0,PDO,B,H2O,O,1.0271497718358698
20,141,0,PDO,C,H2O,O,1.049342653009047
21,141,3,PDO,A,O,O,0.8146781396854932
22,141,3,PDO,B,O,O,0.8122703551284117
23,141,3,PDO,C,O,O,0.7803025102269255
24,75,0,PDOF,A,H2O,O,1.0370831969117733
25,75,0,PDOF,B,H2O,O,0.9517607732411877
26,75,0,PDOF,C,H2O,O,1.0111560298470392
27,75,3,PDOF,A,O,O,0.7391026347787097
28,75,3,PDOF,B,O,O,0.7638840408004811
29,75,3,PDOF,C,O,O,0.7448898055524271
30,75,0,PDO,A,H2O,O,0.9911886108159885
31,75,0,PDO,B,H2O,O,1.0166791791919685
32,75,0,PDO,C,H2O,O,0.9921322099920429
33,75,3,PDO,A,O,O,1.7175389257284377
34,75,3,PDO,B,O,O,1.6420889589707157
35,75,3,PDO,C,O,O,1.5056953010803573
36,5,0,PDOF,A,H2O,O,1.044670543714102
37,5,0,PDOF,B,H2O,O,1.0036328944228348
38,5,0,PDOF,C,H2O,O,0.9516965618630634
39,5,3,PDOF,A,O,O,0.7392591496378101
40,5,3,PDOF,B,O,O,0.7915007467426761
41,5,3,PDOF,C,O,O,0.7612596503257997
42,5,0,PDO,A,H2O,O,1.0101544655662094
43,5,0,PDO,B,H2O,O,1.035706242680297
44,5,0,PDO,C,H2O,O,0.9541392917534935
45,5,3,PDO,A,O,O,0.8887243502483759
46,5,3,PDO,B,O,O,0.8426636633006197
47,5,3,PDO,C,O,O,0.8103409224625828
48,27,0,PDOF,A,H2O,O,0.9719042366924122
49,27,0,PDOF,B,H2O,O,1.0987251174235206
50,27,0,PDOF,C,H2O,O,0.9293706458840673
51,27,3,PDOF,A,O,O,0.9188662144891141
52,27,3,PDOF,B,O,O,0.8660813230580948
53,27,3,PDOF,C,O,O,0.9428272015783863
54,27,0,PDO,A,H2O,O,1.1102323643185457
55,27,0,PDO,B,H2O,O,0.9545501484580237
56,27,0,PDO,C,H2O,O,0.9352174872234308
57,27,3,PDO,A,O,O,1.3167592874476857
58,27,3,PDO,B,O,O,1.198674469890438
59,27,3,PDO,C,O,O,1.247422547459517
60,216,0,PDOF,A,H2O,O,0.9978107765557563
61,216,0,PDOF,B,H2O,O,0.9916569699668002
62,216,0,PDOF,C,H2O,O,1.0105322534774437
63,216,3,PDOF,A,O,O,1.0587949974459039
64,216,3,PDOF,B,O,O,1.124670978478148
65,216,3,PDOF,C,O,O,1.0457344089202372
66,216,0,PDO,A,H2O,O,1.1710877611912325
67,216,0,PDO,B,H2O,O,0.874294365888832
68,216,0,PDO,C,H2O,O,0.9546178729199353
69,216,3,PDO,A,O,O,1.1359476691902752
70,216,3,PDO,B,O,O,1.1773153695047034
71,216,3,PDO,C,O,O,1.1938513134033792
72,99,0,PDOF,A,H2O,O,0.9485550152777663
73,99,0,PDOF,B,H2O,O,0.9231367408999471
