,Patient,Concentration,Culture,Replicate,Treatment,Plate,S_phase
0,27,0,PDOF,A,AH,CSF,0.6854569609813493
1,27,0,PDOF,B,AH,CSF,1.3577621466839622
2,27,0,PDOF,C,AH,CSF,0.9567808923346883
3,27,4,PDOF,A,F,CSF,1.4325197196010404
4,27,4,PDOF,B,F,CSF,1.1708128562552778
5,27,4,PDOF,C,F,CSF,1.3268977749072977
6,27,0,PDO,A,AH,CSF,1.0391868334938983
7,27,0,PDO,B,AH,CSF,1.0605320910010203
8,27,0,PDO,C,AH,CSF,0.9002810755050809
9,27,4,PDO,A,F,CSF,1.5003024781508898
10,27,4,PDO,B,F,CSF,0.7917235400598984
11,27,4,PDO,C,F,CSF,1.2978204155268238
12,21,0,PDOF,A,AH,CSF,0.5172747349782031
13,21,0,PDOF,B,AH,CSF,1.3627706143537246
14,21,0,PDOF,C,AH,CSF,1.1199546506680724
15,21,4,PDOF,A,F,CSF,0.02556655338104754
16,21,4,PDOF,B,F,CSF,0.022768640920605248
17,21,4,PDOF,C,F,CSF,0.06892197501555901
18,21,0,PDO,A,AH,CSF,1.0791066930891278
19,21,0,PDO,B,AH,CSF,1.0312816988338853
20,21,0,PDO,C,AH,CSF,0.889611608076987
21,21,4,PDO,A,F,CSF,0.012372040248689917
22,21,4,PDO,B,F,CSF,0.016536815089330394
23,21,4,PDO,C,F,CSF,0.016558613893549207
24,75,0,PDOF,A,AH,CSF,0.9538235908891306
25,75,0,PDOF,B,AH,CSF,1.2083903249898604
26,75,0,PDOF,C,AH,CSF,0.8377860841210091
27,75,4,PDOF,A,F,CSF,0.02298791576903788
28,75,4,PDOF,B,F,CSF,0.058827906336810246
29,75,4,PDOF,C,F,CSF,0.02793167521346187
30,75,0,PDO,A,AH,CSF,0.9940035349708415
31,75,0,PDO,B,AH,CSF,1.0186778564312482
32,75,0,PDO,C,AH,CSF,0.9873186085979108
33,75,4,PDO,A,F,CSF,0.008333806815299664
34,75,4,PDO,B,F,CSF,0.006885387605423401
35,75,4,PDO,C,F,CSF,0.016892002613240673
36,141,0,PDOF,A,AH,CSF,0.2858732952230543
37,141,0,PDOF,B,AH,CSF,2.119043518802424
38,141,0,PDOF,C,AH,CSF,0.5950831859745213
39,141,4,PDOF,A,F,CSF,0.7618830852109277
40,141,4,PDOF,B,F,CSF,0.6945404042478813
41,141,4,PDOF,C,F,CSF,0.6024519641110136
42,141,0,PDO,A,AH,CSF,1.204027754737013
43,141,0,PDO,B,AH,CSF,0.88294840461916
44,141,0,PDO,C,AH,CSF,0.913023840643827
45,141,4,PDO,A,F,CSF,1.6569475321933924
46,141,4,PDO,B,F,CSF,2.1613141170585735
47,141,4,PDO,C,F,CSF,0.759001952149556
48,23,0,PDOF,A,AH,CSF,0.9711945116435747
49,23,0,PDOF,B,AH,CSF,1.0486501391900969
50,23,0,PDOF,C,AH,CSF,0.9801553491663284
51,23,4,PDOF,A,F,CSF,0.9181411566978349
52,23,4,PDOF,B,F,CSF,0.8791834845528891
53,23,4,PDOF,C,F,CSF,0.7995105717584097
54,23,0,PDO,A,AH,CSF,1.447311807641669
55,23,0,PDO,B,AH,CSF,1.4596281009162722
56,23,0,PDO,C,AH,CSF,0.09306009144205935
57,23,4,PDO,A,F,CSF,1.7619310351280348
58,23,4,PDO,B,F,CSF,1.60638488016251
59,23,4,PDO,C,F,CSF,1.6496579389504862
60,109,0,PDOF,A,AH,CSF,1.0029337480612992
61,109,0,PDOF,B,AH,CSF,1.2416725620139701
62,109,0,PDOF,C,AH,CSF,0.7553936899247307
63,109,4,PDOF,A,F,CSF,0.6985549128007261
64,109,4,PDOF,B,F,CSF,0.9187503689102852
65,109,4,PDOF,C,F,CSF,0.5251012361621591
66,109,0,PDO,A,AH,CSF,1.2452421680363315
67,109,0,PDO,B,AH,CSF,1.3331398309242004
68,109,0,PDO,C,AH,CSF,0.4216180010394675
69,109,4,PDO,A,F,CSF,0.9566367058067918
70,109,4,PDO,B,F,CSF,1.1042456301655938
71,109,4,PDO,C,F,CSF,0.9027069896049178
72,99,0,PDOF,A,AH,CSF,0.9842878738352023
73,99,0,PDOF,B,AH,CSF,1.0884129420143844
74,99,0,PDOF,C,AH,CSF,0.927299184150413
75,99,4,PDOF,A,F,CSF,0.059256915664047095
76,99,4,PDOF,B,F,CSF,0.09512878223796926
77,99,4,PDOF,C,F,CSF,0.06524652069881055
78,99,0,PDO,A,AH,CSF,1.0041844300338878
79,99,0,PDO,B,AH,CSF,1.073520974012418
80,99,0,PDO,C,AH,CSF,0.9222945959536942
81,99,4,PDO,A,F,CSF,0.05596940622576244
82,99,4,PDO,B,F,CSF,0.028140542337660144
83,99,4,PDO,C,F,CSF,0.031968418184599424
84,11,0,PDOF,A,AH,CSF,1.0597317274856626
85,11,0,PDOF,B,AH,CSF,1.1466615995078657
86,11,0,PDOF,C,AH,CSF,0.7936066730064717
87,11,4,PDOF,A,F,CSF,0.29052272885463487
88,11,4,PDOF,B,F,CSF,0.34633867695446696
89,11,4,PDOF,C,F,CSF,0.3095648642244486
90,11,0,PDO,A,AH,CSF,1.1284903393208225
91,11,0,PDO,B,AH,CSF,1.00908445458251
92,11,0,PDO,C,AH,CSF,0.8624252060966677
93,11,4,PDO,A,F,CSF,0.539643930064858
94,11,4,PDO,B,F,CSF,0.5422586128170817
95,11,4,PDO,C,F,CSF,0.5686354601871407
96,216,0,PDOF,A,AH,CSF,0.7012854538609112
97,216,0,PDOF,B,AH,CSF,1.4519551198908374
98,216,0,PDOF,C,AH,CSF,0.8467594262482517
99,216,4,PDOF,A,F,CSF,0.9891895813206687
100,216,4,PDOF,B,F,CSF,0.9615283438580211
101,216,4,PDOF,C,F,CSF,1.0784415790317723
102,216,0,PDO,A,AH,CSF,0.8719846522718933
103,216,0,PDO,B,AH,CSF,0.9299414296928777
104,216,0,PDO,C,AH,CSF,1.1980739180352291
105,216,4,PDO,A,F,CSF,1.3954353775809551
106,216,4,PDO,B,F,CSF,1.2942937248447701
107,216,4,PDO,C,F,CSF,1.3470499240526856
108,5,0,PDOF,A,AH,CSF,0.8940940218488598
109,5,0,PDOF,B,AH,CSF,1.2700725714103598
110,5,0,PDOF,C,AH,CSF,0.8358334067407808
111,5,4,PDOF,A,F,CSF,0.005012538249487208
112,5,4,PDOF,B,F,CSF,0.00964312158040884
113,5,4,PDOF,C,F,CSF,0.022666607017918425
114,5,0,PDO,A,AH,CSF,0.9892470101390791
115,5,0,PDO,B,AH,CSF,0.9583926033457502
116,5,0,PDO,C,AH,CSF,1.0523603865151703
117,5,4,PDO,A,F,CSF,0.004918406732732976
118,5,4,PDO,B,F,CSF,0.014398635710075788
119,5,4,PDO,C,F,CSF,0.00792222047321914
