,Patient,Concentration,Culture,Replicate,Treatment,Plate,S_phase
0,23,0,PDOF,AA,DMSO,SLV,1.6039297050319612
1,23,0,PDOF,A,DMSO,SLV,1.3032883133686695
2,23,0,PDOF,BB,DMSO,SLV,1.7324763246497263
3,23,0,PDOF,B,DMSO,SLV,1.4218335689284474
4,23,0,PDOF,CC,DMSO,SLV,1.3084795409404746
5,23,0,PDOF,C,DMSO,SLV,1.3726830189520025
6,23,0,PDO,AA,DMSO,SLV,0.9188984651956994
7,23,0,PDO,A,DMSO,SLV,1.0555575091222782
8,23,0,PDO,BB,DMSO,SLV,0.949270527411624
9,23,0,PDO,B,DMSO,SLV,1.1234253039993445
10,23,0,PDO,CC,DMSO,SLV,0.9934214795101164
11,23,0,PDO,C,DMSO,SLV,0.9594267147609373
12,27,0,PDOF,AA,DMSO,SLV,1.563236815479815
13,27,0,PDOF,A,DMSO,SLV,0.29527806514618726
14,27,0,PDOF,BB,DMSO,SLV,1.9931269397367641
15,27,0,PDOF,B,DMSO,SLV,1.3443502944649253
16,27,0,PDOF,CC,DMSO,SLV,1.433688574771334
17,27,0,PDOF,C,DMSO,SLV,1.6914337146684901
18,27,0,PDO,AA,DMSO,SLV,0.9953436859395346
19,27,0,PDO,A,DMSO,SLV,0.976639445570759
20,27,0,PDO,BB,DMSO,SLV,1.0726155153360089
21,27,0,PDO,B,DMSO,SLV,0.9537378619878593
22,27,0,PDO,CC,DMSO,SLV,0.9531843286959336
23,27,0,PDO,C,DMSO,SLV,1.0484791624699044
24,21,0,PDOF,AA,DMSO,SLV,0.3409396383876624
25,21,0,PDOF,A,DMSO,SLV,0.19501766817541108
26,21,0,PDOF,BB,DMSO,SLV,0.2516588291528283
27,21,0,PDOF,B,DMSO,SLV,0.5119213789604541
28,21,0,PDOF,CC,DMSO,SLV,0.42000179434048307
29,21,0,PDOF,C,DMSO,SLV,0.3235458153542196
30,21,0,PDO,AA,DMSO,SLV,1.1380562926690574
31,21,0,PDO,A,DMSO,SLV,1.0832192188034686
32,21,0,PDO,BB,DMSO,SLV,1.0217404113954032
33,21,0,PDO,B,DMSO,SLV,1.0546813952076823
34,21,0,PDO,CC,DMSO,SLV,0.7557894374416153
35,21,0,PDO,C,DMSO,SLV,0.9465132444827732
36,75,0,PDOF,AA,DMSO,SLV,0.16579616915500914
37,75,0,PDOF,A,DMSO,SLV,0.404139221291399
38,75,0,PDOF,BB,DMSO,SLV,0.41643524598611537
39,75,0,PDOF,B,DMSO,SLV,0.5579948250820775
40,75,0,PDOF,CC,DMSO,SLV,0.17761653393529123
41,75,0,PDOF,C,DMSO,SLV,0.43376683888893575
42,75,0,PDO,AA,DMSO,SLV,0.9381777025634828
43,75,0,PDO,A,DMSO,SLV,1.1476416896473105
44,75,0,PDO,BB,DMSO,SLV,0.8481321314296664
45,75,0,PDO,B,DMSO,SLV,1.1223598282201175
46,75,0,PDO,CC,DMSO,SLV,0.8670236796380886
47,75,0,PDO,C,DMSO,SLV,1.0766649685013348
48,141,0,PDOF,AA,DMSO,SLV,0.8535104854047411
49,141,0,PDOF,A,DMSO,SLV,0.21526833797039616
50,141,0,PDOF,BB,DMSO,SLV,0.7561839522329855
51,141,0,PDOF,CC,DMSO,SLV,0.6952333453360935
52,141,0,PDOF,C,DMSO,SLV,0.35861785101039545
53,141,0,PDO,AA,DMSO,SLV,0.8595134363890455
54,141,0,PDO,A,DMSO,SLV,0.8699145890846225
55,141,0,PDO,BB,DMSO,SLV,1.3983242466453085
56,141,0,PDO,CC,DMSO,SLV,0.6861191856641405
57,141,0,PDO,C,DMSO,SLV,1.1861285422168828
58,5,0,PDOF,AA,DMSO,SLV,0.618113730646918
59,5,0,PDOF,A,DMSO,SLV,1.029513163999206
60,5,0,PDOF,BB,DMSO,SLV,1.363403792450728
61,5,0,PDOF,B,DMSO,SLV,1.348611775956912
62,5,0,PDOF,CC,DMSO,SLV,0.7992195350195102
63,5,0,PDOF,C,DMSO,SLV,1.1034001043179804
64,5,0,PDO,AA,DMSO,SLV,0.6695348557521934
65,5,0,PDO,A,DMSO,SLV,1.3707735426801915
66,5,0,PDO,BB,DMSO,SLV,0.9514657426045795
67,5,0,PDO,B,DMSO,SLV,0.8957861638635197
68,5,0,PDO,CC,DMSO,SLV,0.909880701406827
69,5,0,PDO,C,DMSO,SLV,1.2025589936926895
70,109,0,PDOF,AA,DMSO,SLV,0.4843896150309192
71,109,0,PDOF,A,DMSO,SLV,0.7218921237420554
72,109,0,PDOF,BB,DMSO,SLV,0.8592276985027392
73,109,0,PDOF,B,DMSO,SLV,1.119132209513927
74,109,0,PDOF,CC,DMSO,SLV,0.8506842412733086
75,109,0,PDOF,C,DMSO,SLV,1.309161121705187
76,109,0,PDO,AA,DMSO,SLV,0.7250812054132051
77,109,0,PDO,A,DMSO,SLV,0.866728892696017
78,109,0,PDO,BB,DMSO,SLV,0.818607158269036
79,109,0,PDO,B,DMSO,SLV,1.2088154385798342
80,109,0,PDO,CC,DMSO,SLV,1.022098712919119
81,109,0,PDO,C,DMSO,SLV,1.3586685921227888
82,216,0,PDOF,AA,DMSO,SLV,2.339150465137122
83,216,0,PDOF,A,DMSO,SLV,2.1202691743361646
84,216,0,PDOF,BB,DMSO,SLV,1.4017046680401837
85,216,0,PDOF,B,DMSO,SLV,1.4119439562726959
86,216,0,PDOF,CC,DMSO,SLV,2.051102659908544
87,216,0,PDOF,C,DMSO,SLV,1.4761400941006
88,216,0,PDO,AA,DMSO,SLV,0.6724589114699532
89,216,0,PDO,A,DMSO,SLV,0.5000634845132463
90,216,0,PDO,BB,DMSO,SLV,1.357714265214736
91,216,0,PDO,B,DMSO,SLV,1.2426356323125627
92,216,0,PDO,CC,DMSO,SLV,0.7567839740149512
93,216,0,PDO,C,DMSO,SLV,1.4703437324745507
94,99,0,PDOF,AA,DMSO,SLV,1.290268975099334
95,99,0,PDOF,A,DMSO,SLV,1.2250573141743808
96,99,0,PDOF,BB,DMSO,SLV,1.539560332257745
97,99,0,PDOF,B,DMSO,SLV,1.852672883997709
98,99,0,PDOF,CC,DMSO,SLV,1.451958231027583
99,99,0,PDOF,C,DMSO,SLV,1.3314825002369153
100,99,0,PDO,AA,DMSO,SLV,1.1748574279081392
101,99,0,PDO,A,DMSO,SLV,0.9625341082092965
102,99,0,PDO,BB,DMSO,SLV,0.8767465852847263
103,99,0,PDO,B,DMSO,SLV,1.0447016540320415
104,99,0,PDO,CC,DMSO,SLV,1.028567265552782
105,99,0,PDO,C,DMSO,SLV,0.9125929590130145
106,11,0,PDOF,AA,DMSO,SLV,1.236747145537887
107,11,0,PDOF,A,DMSO,SLV,0.7544427031603667
108,11,0,PDOF,BB,DMSO,SLV,0.1846421233648295
109,11,0,PDOF,B,DMSO,SLV,1.0508309079733678
110,11,0,PDOF,CC,DMSO,SLV,0.26762734734902255
111,11,0,PDOF,C,DMSO,SLV,0.4298135443139189
112,11,0,PDO,AA,DMSO,SLV,1.1632453771984257
113,11,0,PDO,A,DMSO,SLV,2.2157054803779537
114,11,0,PDO,BB,DMSO,SLV,0.007145650174218901
115,11,0,PDO,B,DMSO,SLV,1.4472202884493977
116,11,0,PDO,CC,DMSO,SLV,0.007145650174218901
117,11,0,PDO,C,DMSO,SLV,1.1595375536257853
